# id, cost in 5 colors,, color, points, category
 0, 0, 0, 0, 2, 1, 0, white, 0
 1, 1, 0, 0, 0, 2, 0, blue, 0
 2, 2, 1, 0, 0, 0, 0, green, 0
 3, 0, 2, 1, 0, 0, 0, red, 0
 4, 0, 0, 2, 1, 0, 0, black, 0
 5, 0, 3, 0, 0, 0, 0, white, 0
 6, 0, 0, 0, 0, 3, 0, blue, 0
 7, 0, 0, 0, 3, 0, 0, green, 0
 8, 3, 0, 0, 0, 0, 0, red, 0
 9, 0, 0, 3, 0, 0, 0, black, 0
10, 0, 1, 1, 1, 1, 0, white, 0
11, 1, 0, 1, 1, 1, 0, blue, 0
12, 1, 1, 0, 1, 1, 0, green, 0
13, 1, 1, 1, 0, 1, 0, red, 0
14, 1, 1, 1, 1, 0, 0, black, 0
15, 0, 1, 2, 1, 1, 0, white, 0
16, 1, 0, 1, 2, 1, 0, blue, 0
17, 1, 1, 0, 1, 2, 0, green, 0
18, 2, 1, 1, 0, 1, 0, red, 0
19, 1, 2, 1, 1, 0, 0, black, 0
20, 0, 2, 0, 0, 2, 0, white, 0
21, 0, 0, 2, 0, 2, 0, blue, 0
22, 0, 2, 0, 2, 0, 0, green, 0
23, 2, 0, 0, 2, 0, 0, red, 0
24, 2, 0, 2, 0, 0, 0, black, 0
25, 3, 1, 0, 0, 1, 0, white, 0
26, 0, 1, 3, 1, 0, 0, blue, 0
27, 1, 3, 1, 0, 0, 0, green, 0
28, 1, 0, 0, 1, 3, 0, red, 0
29, 0, 0, 1, 3, 1, 0, black, 0
30, 0, 2, 2, 0, 1, 0, white, 0
31, 1, 0, 2, 2, 0, 0, blue, 0
32, 0, 1, 0, 2, 2, 0, green, 0
33, 2, 0, 1, 0, 2, 0, red, 0
34, 2, 2, 0, 1, 0, 0, black, 0
35, 0, 0, 4, 0, 0, 0, white, 1
36, 0, 0, 0, 4, 0, 0, blue, 1
37, 0, 0, 0, 0, 4, 0, green, 1
38, 4, 0, 0, 0, 0, 0, red, 1
39, 0, 4, 0, 0, 0, 0, black, 1
40, 2, 3, 0, 3, 0, 1, white, 1
41, 0, 2, 3, 0, 3, 1, blue, 1
42, 3, 0, 2, 3, 0, 1, green, 1
43, 0, 3, 0, 2, 3, 1, red, 1
44, 3, 0, 3, 0, 2, 1, black, 1
45, 0, 0, 3, 2, 2, 1, white, 1
46, 0, 2, 2, 3, 0, 1, blue, 1
47, 2, 3, 0, 0, 2, 1, green, 1
48, 2, 0, 0, 2, 3, 1, red, 1
49, 3, 2, 2, 0, 0, 1, black, 1
50, 0, 0, 1, 4, 2, 1, white, 2
51, 2, 0, 0, 1, 4, 1, blue, 2
52, 4, 2, 0, 0, 1, 1, green, 2
53, 1, 4, 2, 0, 0, 1, red, 2
54, 0, 1, 4, 2, 0, 1, black, 2
55, 0, 0, 0, 5, 3, 1, white, 2
56, 5, 3, 0, 0, 0, 1, blue, 2
57, 0, 5, 3, 0, 0, 1, green, 2
58, 3, 0, 0, 0, 5, 1, red, 2
59, 0, 0, 5, 3, 0, 1, black, 2
60, 0, 0, 0, 5, 0, 1, white, 2
61, 0, 5, 0, 0, 0, 1, blue, 2
62, 0, 0, 5, 0, 0, 1, green, 2
63, 0, 0, 0, 0, 5, 1, red, 2
64, 5, 0, 0, 0, 0, 1, black, 2
65, 6, 0, 0, 0, 0, 1, white, 3
66, 0, 6, 0, 0, 0, 1, blue, 3
67, 0, 0, 6, 0, 0, 1, green, 3
68, 0, 0, 0, 6, 0, 1, red, 3
69, 0, 0, 0, 0, 6, 1, black, 3
70, 0, 3, 3, 5, 3, 2, white, 3
71, 3, 0, 3, 3, 5, 2, blue, 3
72, 5, 3, 0, 3, 3, 2, green, 3
73, 3, 5, 3, 0, 3, 2, red, 3
74, 3, 3, 5, 3, 0, 2, black, 3
75, 3, 0, 0, 3, 6, 2, white, 4
76, 6, 3, 0, 0, 3, 2, blue, 4
77, 3, 6, 3, 0, 0, 2, green, 4
78, 0, 3, 6, 3, 0, 2, red, 4
79, 0, 0, 3, 6, 3, 2, black, 4
80, 3, 0, 0, 0, 7, 2, white, 5
81, 7, 3, 0, 0, 0, 2, blue, 5
82, 0, 7, 3, 0, 0, 2, green, 5
83, 0, 0, 7, 3, 0, 2, red, 5
84, 0, 0, 0, 7, 3, 2, black, 5
85, 0, 0, 0, 0, 7, 2, white, 4
86, 7, 0, 0, 0, 0, 2, blue, 4
87, 0, 7, 0, 0, 0, 2, green, 4
88, 0, 0, 7, 0, 0, 2, red, 4
89, 0, 0, 0, 7, 0, 2, black, 4
